gene_orf	gene_symbol
DMEL_CG7380	baf
DMEL_CG8980	NiPp1
DMEL_CG6610	CG6610
DMEL_CG9344	CG9344
DMEL_CG6617	CG6617
DMEL_CG7611	CG7611
DMEL_CG6708	Osbp
DMEL_CG7919	fan
DMEL_CG7357	CG7357
DMEL_CG45070	CTPsyn
DMEL_CG6866	loqs
DMEL_CG7048	CG7048
DMEL_CG7770	CG7770
DMEL_CG7053	Atg101
DMEL_CG7331	Atg13
DMEL_CG7098	dik
DMEL_CG9638	Ada2b
DMEL_CG7148	CG7148
DMEL_CG9424	bocksbeutel
DMEL_CG9856	PTP-ER
DMEL_CG9653	brk
DMEL_CG9326	vari
DMEL_CG7911	CG7911
DMEL_CG7917	Nlp
DMEL_CG7954	stck
DMEL_CG9031	ics
DMEL_CG8395	Rrp42
DMEL_CG8055	shrb
DMEL_CG8281	CG8281
DMEL_CG8328	E(spl)mdelta-HLH
DMEL_CG8346	E(spl)m3-HLH
DMEL_CG9414	Drep-4
DMEL_CG8365	E(spl)m8-HLH
DMEL_CG8781	tsu
DMEL_CG9401	mago
DMEL_CG8902	Nuf2
DMEL_CG9938	Ndc80
DMEL_CG8995	PGRP-LE
DMEL_CG9437	hng1
DMEL_CG9654	Rbp4
DMEL_CG9975	CG9975
DMEL_CG9790	Cks85A
DMEL_CG10021	bowl
DMEL_CG11770	lin
DMEL_CG10033	for
DMEL_CG12052	lola
DMEL_CG5102	da
DMEL_CG10279	Rm62
DMEL_CG6147	Tsc1
DMEL_CG10327	TBPH
DMEL_CG10388	Ubx
DMEL_CG4216	term
DMEL_CG10498	cdc2c
DMEL_CG12559	rl
DMEL_CG10573	ko
DMEL_CG10578	DnaJ-1
DMEL_CG8295	Mlf
DMEL_CG1064	Snr1
DMEL_CG2168	RpS3A
DMEL_CG4303	Bap60
DMEL_CG4609	fax
DMEL_CG10653	hk
DMEL_CG14556	CG14556
DMEL_CG10687	Aats-asn
DMEL_CG11138	CG11138
DMEL_CG1078	Fip1
DMEL_CG43657	Myo10A
DMEL_CG10811	eIF4G
DMEL_CG10961	Traf6
DMEL_CG11006	Sap130
DMEL_CG7379	CG7379
DMEL_CG11092	Nup93-1
DMEL_CG12190	RYBP
DMEL_CG2146	didum
DMEL_CG8815	Sin3A
DMEL_CG1135	Rcd5
DMEL_CG18041	dgt1
DMEL_CG8965	rau
DMEL_CG11416	uri
DMEL_CG15218	CycK
DMEL_CG6193	Apc2
DMEL_CG14937	CG14937
DMEL_CG12200	CG12200
DMEL_CG2720	Hop
DMEL_CG3189	Dpit47
DMEL_CG13001	CG13001
DMEL_CG4813	CG4813
DMEL_CG13201	ix
DMEL_CG5057	MED10
DMEL_CG3431	Uch-L5
DMEL_CG13731	CG13731
DMEL_CG1921	sty
DMEL_CG43227	milt
DMEL_CG5410	Miro
DMEL_CG13879	wac
DMEL_CG16969	dgt2
DMEL_CG1403	Sep1
DMEL_CG4173	Sep2
DMEL_CG6856	Dysb
DMEL_CG14145	Blos2
DMEL_CG14228	Mer
DMEL_CG2050	mod
DMEL_CG14317	CG14317
DMEL_CG1469	Fer2LCH
DMEL_CG2216	Fer1HCH
DMEL_CG1487	krz
DMEL_CG3929	dx
DMEL_CG14894	CG14894
DMEL_CG2655	HLH3B
DMEL_CG15010	ago
DMEL_CG15015	Cip4
DMEL_CG15224	CkIIbeta
DMEL_CG17520	CkIIalpha
DMEL_CG15437	morgue
